series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU3701950010,38047,39280.0,40558,42900,45396,48181
ENU3702150010,41830,43371.0,44850,48282,50435,53483
ENU3702350010,36110,37324.0,38110,40243,42631,44974
ENU3702550010,41672,40630.0,42740,46165,47473,50703
ENU3702750010,37533,39617.0,40364,42679,45780,48947
ENU3702950010,34561,36209.0,36375,41109,45160,48368
ENU3703150010,33279,34573.0,36266,38368,40500,42395
ENU3703350010,33596,34844.0,36913,39611,41719,43947
ENU3703550010,42087,43160.0,44229,46630,50119,53368
ENU3703750010,37186,38070.0,38998,41958,44288,47949
ENU3703950010,32874,33650.0,34503,36497,38506,41346
ENU3704150010,35387,36354.0,37590,39649,42153,45692
ENU3704350010,31012,31626.0,33387,35235,39139,42395
ENU3704550010,39204,40360.0,41588,43469,45186,48714
ENU3704750010,34342,35624.0,35972,38384,40164,41169
ENU3704950010,42116,43493.0,45015,47706,49116,51328
ENU3705150010,41801,43206.0,44310,46483,48642,50670
ENU3705350010,34048,35727.0,35527,38174,39639,41943
ENU3705550010,32747,33755.0,35110,38233,40706,43263
ENU3705750010,39156,40226.0,41403,43676,47142,50068
ENU3705950010,35462,36399.0,39005,41668,45426,48129
ENU3706150010,34215,35918.0,36753,39226,41175,44485
ENU3706350010,67026,69464.0,71539,79768,83177,86327
ENU3706550010,35442,36999.0,37789,40064,43117,43898
ENU3706750010,52090,51129.0,52319,55574,59196,62550
ENU3706950010,41641,43103.0,43681,47344,48393,50571
ENU3707150010,39691,41413.0,42280,44008,46955,49839
ENU3707350010,32116,33782.0,35689,40759,40506,44277
ENU3707550010,33572,35566.0,35868,39098,41197,43951
ENU3707750010,43837,44689.0,45396,48731,50299,53368
ENU3707950010,34334,35103.0,36371,38529,39692,43514
ENU3708150010,47510,48520.0,49739,52906,55588,57826
ENU3708350010,33521,34839.0,35273,37572,39399,42276
ENU3708550010,34435,35676.0,36813,39031,41185,43225
ENU3708750010,35547,36410.0,37355,39957,42057,45190
ENU3708950010,38953,40102.0,40990,43301,47010,50764
ENU3709150010,36344,38060.0,39573,41650,44926,45072
ENU3709350010,35520,35864.0,35944,38024,40317,44186
ENU3709550010,30769,32588.0,34230,36110,38401,39445
ENU3709750010,47378,47847.0,49442,54752,60155,62054
ENU3709950010,36288,36791.0,38028,42440,44068,45466
ENU3710150010,38997,40602.0,41478,44325,46212,49398
ENU3710350010,34290,35016.0,35694,37485,39949,44703
ENU3710550010,39795,42001.0,42311,43965,47391,50408
ENU3710750010,36698,38149.0,39365,42214,44440,47556
ENU3710950010,39576,40910.0,42816,44560,47959,51387
ENU3711150010,36262,36287.0,37623,39660,40915,44175
ENU3711350010,33411,34053.0,35495,37826,40647,43775
ENU3711550010,33342,34209.0,35122,38193,39307,42091
ENU3711750010,31168,31495.0,32388,34168,35320,36292
ENU3711950010,64677,66908.0,68394,73727,77156,82165
ENU3712150010,35569,38186.0,39143,40644,41289,45069
ENU3712350010,35597,36839.0,38126,41126,46847,47317
ENU3712550010,38825,39462.0,40808,44994,47914,50505
ENU3712750010,38979,40665.0,41890,43652,46468,49876
ENU3712950010,44622,45202.0,46669,51913,55676,57283
ENU3713150010,35433,38048.0,37554,41206,42442,45935
ENU3713350010,33882,34836.0,36258,39231,40679,42832
ENU3713550010,54344,56728.0,59316,64430,68297,71390
ENU3713750010,29594,30672.0,31868,34292,33400,34833
ENU3713950010,36361,37824.0,39176,42062,43997,46193
ENU3714150010,34108,35578.0,36641,38790,40449,43670
ENU3714350010,33201,34666.0,35736,37927,39144,41212
ENU3714550010,39766,41411.0,41630,44004,44726,47411
ENU3714750010,44019,44898.0,46499,49371,51659,53868
ENU3714950010,31332,32544.0,33326,35874,39981,42143
ENU3715150010,35449,36432.0,37639,40106,42303,44690
ENU3715350010,34276,34926.0,35963,38202,40028,42844
ENU3715550010,33292,34678.0,35746,38266,40895,43436
ENU3715750010,35036,35420.0,36114,38219,41101,43974
ENU3715950010,42555,44305.0,45395,48067,50990,52170
ENU3716150010,34042,35497.0,36633,38903,41089,43756
ENU3716350010,36776,37813.0,38864,41231,43047,46251
ENU3716550010,36072,36928.0,38056,40795,42851,45383
ENU3716750010,34691,36068.0,36975,39424,41231,44678
ENU3716950010,30859,32719.0,33134,35080,36304,38111
ENU3717150010,35228,36957.0,37711,40347,42534,45556
ENU3717350010,36439,35769.0,37717,39237,43228,45806
ENU3717550010,34400,34510.0,35595,38869,41306,44667
ENU3717750010,31448,32672.0,34311,35100,36520,39848
ENU3717950010,43200,44433.0,45949,48426,51097,55700
ENU3718150010,34443,35483.0,36210,39298,41685,44199
ENU3718350010,55986,59803.0,61423,65054,69248,72142
