series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU4200550010,39783,40838.0,42266,44612,45872,47816
ENU4200750010,43894,47909.0,53242,55659,60322,57837
ENU4200950010,35990,36903.0,37430,38594,41823,44347
ENU4201150010,48919,50358.0,51180,55474,57401,58952
ENU4201350010,40081,41639.0,43096,45726,47390,49876
ENU4201550010,45721,47236.0,49572,51531,53411,56859
ENU4201750010,50664,51917.0,53020,57895,60258,62866
ENU4201950010,50148,51343.0,53100,56298,58076,60897
ENU4202150010,37802,39394.0,40733,43189,43752,45792
ENU4202350010,38952,39733.0,39529,39942,46023,49316
ENU4202550010,35622,36786.0,37383,40553,42673,44184
ENU4202750010,48864,50433.0,52597,56165,57955,59953
ENU4202950010,68587,71031.0,72529,78573,81873,84112
ENU4203150010,35129,36550.0,37563,39851,41119,43883
ENU4203350010,38514,40240.0,41395,43859,44987,47496
ENU4203550010,41921,42283.0,44003,45043,46415,49030
ENU4203750010,39488,40496.0,41650,44266,45297,47476
ENU4203950010,39194,40808.0,41185,42835,44971,47072
ENU4204150010,49133,51062.0,52629,56581,58414,60642
ENU4204350010,53578,54792.0,56756,61271,62920,65027
ENU4204550010,58249,59874.0,60765,65662,68162,70330
ENU4204750010,42075,43843.0,44439,45167,46194,49160
ENU4204950010,41154,42216.0,43433,46915,47689,49693
ENU4205150010,38073,40006.0,41812,43771,44853,47703
ENU4205350010,45634,45076.0,45829,49464,50531,56253
ENU4205550010,42274,43576.0,44690,47797,49297,51258
ENU4205750010,47020,47756.0,48289,45663,53534,52362
ENU4205950010,53855,55361.0,57672,58108,58884,62421
ENU4206150010,38004,39733.0,40102,42784,43805,46053
ENU4206350010,44534,46093.0,47527,49570,52027,53392
ENU4206550010,38192,39348.0,39965,41828,43654,46044
ENU4206750010,35314,35744.0,36708,38387,40258,42521
ENU4206950010,41232,42356.0,43120,47484,49270,51190
ENU4207150010,45246,46352.0,47809,52033,54200,56419
ENU4207350010,40022,41188.0,43034,45216,46333,49555
ENU4207550010,41594,42613.0,44362,47948,50573,52645
ENU4207750010,53513,53905.0,56541,61070,63434,65754
ENU4207950010,42343,43934.0,45073,48392,51255,52679
ENU4208150010,42709,44266.0,45308,48196,50005,52795
ENU4208350010,41078,41963.0,41713,43735,44803,46565
ENU4208550010,40878,42367.0,43519,46128,47911,50678
ENU4208750010,38651,39745.0,40839,43603,45045,48361
ENU4208950010,41790,42720.0,44319,49221,50211,50941
ENU4209150010,67403,69491.0,71665,79237,82165,83707
ENU4209350010,67582,68389.0,69993,72569,75902,80733
ENU4209550010,46667,47631.0,48751,52855,55194,56477
ENU4209750010,40053,39970.0,41201,45545,46233,48645
ENU4209950010,32661,32987.0,34172,36347,37338,39211
ENU4210150010,64331,65824.0,69138,74154,75205,78309
ENU4210350010,33062,33732.0,34855,38251,39719,41306
ENU4210550010,41606,42283.0,43072,44830,47502,47693
ENU4210750010,40999,42675.0,43648,46465,48388,50983
ENU4210950010,37271,36621.0,36423,38988,41312,43740
ENU4211150010,38230,40174.0,41556,43156,44755,47224
ENU4211350010,34330,37401.0,37488,38320,39595,42894
ENU4211550010,39836,41382.0,43394,44181,47510,51614
ENU4211750010,40007,42054.0,43734,44612,47228,49299
ENU4211950010,42900,44297.0,45880,49823,51904,54163
ENU4212150010,38179,39579.0,41515,42962,44737,47091
ENU4212350010,39870,41668.0,42658,45237,45965,48218
ENU4212550010,56331,56764.0,58434,61676,65590,67184
ENU4212750010,38651,39942.0,41418,45140,46765,48275
ENU4212950010,43979,45559.0,46679,49266,51243,53329
ENU4213150010,47927,49586.0,50893,53649,55761,57174
ENU4213350010,47573,48808.0,49898,53209,55755,57964
ENU4400150010,41823,43086.0,44299,48234,51907,53614
ENU4400350010,47516,48583.0,50687,55129,56381,57962
ENU4400550010,50880,51480.0,53918,59828,61731,64055
ENU4400750010,55514,55649.0,56581,62074,63602,65904
ENU4400950010,45298,49600.0,49058,55628,56392,57914
ENU4500150010,36790,38038.0,39714,40910,42975,45193
ENU4500350010,49006,49664.0,50965,54082,55522,57573
ENU4500550010,41762,42099.0,43721,45439,48590,55579
ENU4500750010,39567,40340.0,41289,43866,46023,48047
ENU4500950010,32969,33548.0,35024,37399,38954,40979
ENU4501150010,34871,37042.0,36651,36751,37761,40136
ENU4501350010,38799,38810.0,40625,44460,47014,50106
ENU4501550010,50247,51772.0,53168,55478,58753,60735
ENU4501750010,43155,43288.0,46019,47905,50881,55148
ENU4501950010,48606,49710.0,52016,55885,59059,62964
ENU4502150010,35989,34925.0,36085,38843,39722,41979
ENU4502350010,42360,43032.0,45114,45373,47835,51861
ENU4502550010,37704,38257.0,38632,40840,42457,45078
ENU4502750010,29714,29562.0,30299,32442,36093,38465
ENU4502950010,32934,34188.0,35589,37914,40056,43728
ENU4503150010,45795,47007.0,47874,49312,50506,54920
ENU4503350010,32596,32582.0,34227,34943,35858,37875
ENU4503550010,36825,37942.0,39442,42148,44835,48405
ENU4503750010,37700,38814.0,40022,41718,45359,48131
ENU4503950010,65577,49574.0,50443,54638,59115,58050
ENU4504150010,39332,39197.0,40971,43120,45933,48552
ENU4504350010,39138,39341.0,41736,44320,45687,47272
ENU4504550010,47348,48056.0,49226,52454,55030,58107
ENU4504750010,40910,40315.0,41648,44765,46577,49053
ENU4504950010,39051,40735.0,41762,44879,43795,46787
ENU4505150010,33204,33471.0,34803,37994,41305,43611
ENU4505350010,37457,36494.0,38910,42364,46166,50290
ENU4505550010,38371,37706.0,37651,40071,41187,43982
ENU4505750010,46497,48475.0,49556,52251,54455,59185
ENU4505950010,40420,40396.0,40704,43187,44416,47820
ENU4506150010,36780,36330.0,37327,38767,40555,44209
ENU4506350010,41360,41836.0,44072,46916,48873,51161
ENU4506550010,35175,35402.0,35630,34902,35524,39110
ENU4506750010,32925,31865.0,33634,35379,38114,40703
ENU4506950010,42798,43641.0,42133,42666,49368,49437
ENU4507150010,36306,37436.0,39014,40749,42113,45185
ENU4507350010,46723,47217.0,47461,48236,49496,53338
ENU4507550010,38466,39021.0,39467,42567,43959,46229
ENU4507750010,39944,39986.0,42221,45188,47273,48864
ENU4507950010,46656,47323.0,48951,52169,54475,57473
ENU4508150010,32041,31990.0,35095,35180,38328,42302
ENU4508350010,45987,46255.0,47641,49621,51945,54643
ENU4508550010,37678,38432.0,39996,42238,44862,47756
ENU4508750010,35061,38476.0,39497,41426,43508,45007
ENU4508950010,36962,38434.0,39936,43095,45788,48539
ENU4509150010,44401,45745.0,47688,51296,53919,57787
ENU4600350010,32713,33155.0,33039,35446,35984,38567
ENU4600550010,38842,40431.0,41414,43994,45262,47553
ENU4600750010,31807,33471.0,34356,36941,38635,38876
ENU4600950010,33859,34590.0,35715,36898,38139,40675
ENU4601150010,42649,43712.0,44824,48290,49206,52253
ENU4601350010,41417,42906.0,44219,48798,49768,51760
ENU4601550010,31344,32338.0,34984,37226,40667,44166
ENU4601750010,38715,39618.0,41499,45441,50155,45648
ENU4601950010,32886,33615.0,34218,36791,37645,40424
ENU4602150010,32927,35030.0,36482,38059,38793,40761
ENU4602350010,33592,34380.0,35938,40535,41195,42960
ENU4602550010,32614,32138.0,34420,44128,37373,40308
ENU4602750010,37087,37621.0,38370,42160,42307,43858
ENU4602950010,38840,40273.0,40999,43000,44781,47665
ENU4603150010,36646,38620.0,37892,40842,43191,44221
ENU4603350010,34333,34516.0,35507,39208,40874,43544
ENU4603550010,39217,40545.0,41415,44294,46314,48626
ENU4603750010,31900,33632.0,33960,37788,38557,40856
ENU4603950010,40179,40967.0,42612,49543,47730,50183
ENU4604150010,39063,40216.0,40683,48489,46617,45905
ENU4604350010,34422,35005.0,35659,36959,39572,42659
ENU4604550010,37820,38775.0,40186,42534,43940,48041
ENU4604750010,36273,37470.0,38694,40862,43309,45759
ENU4604950010,31887,33843.0,34627,38353,38661,38663
ENU4605150010,39995,40881.0,42497,45967,48615,50862
ENU4605350010,30673,31783.0,33161,36139,36444,36855
ENU4605550010,37556,38625.0,39526,41988,42511,46149
ENU4605750010,36621,39962.0,40649,44794,47172,50859
ENU4605950010,33823,34635.0,35097,36010,37249,38362
ENU4606150010,36636,37856.0,39684,42450,43409,45984
ENU4606350010,38083,40060.0,44273,43387,43699,44941
ENU4606550010,43143,44140.0,46210,49479,51331,55171
ENU4606750010,35033,36799.0,38369,40008,41223,43704
ENU4606950010,38025,38572.0,39794,42966,48115,50850
ENU4607150010,29189,30468.0,31170,33576,36767,38292
ENU4607350010,36454,36184.0,37830,39801,41022,43101
ENU4607550010,29002,29613.0,30709,32822,31901,33343
ENU4607750010,35833,37230.0,37491,41438,40246,43825
ENU4607950010,40211,42109.0,42843,45705,48881,50627
ENU4608150010,34649,36511.0,38280,41910,44817,47739
ENU4608350010,48452,50689.0,52940,55975,58183,62169
ENU4608550010,29648,30258.0,30923,34381,35588,36230
ENU4608750010,34984,36148.0,36347,39175,40831,46347
ENU4608950010,31809,32017.0,32741,34977,36208,37398
ENU4609150010,37891,40278.0,41197,42795,46234,48752
ENU4609350010,39293,40359.0,42004,45602,46975,50265
ENU4609550010,25614,26268.0,27233,28064,30847,30720
ENU4609750010,32924,33455.0,34175,35684,37077,39678
ENU4609950010,47453,48722.0,50258,55312,57566,60666
ENU4610150010,37793,38946.0,40266,43164,44825,48249
ENU4610250010,39913,40673.0,42058,46421,50469,50207
ENU4610350010,41205,42112.0,43649,47855,50372,52887
ENU4610550010,31622,32045.0,33091,35094,36739,40894
ENU4610750010,34828,37213.0,38606,44532,46535,45681
ENU4610950010,33815,34961.0,35519,39204,40880,45360
ENU4611150010,31892,33338.0,34130,35710,35488,37565
ENU4611550010,36590,37299.0,38825,42364,44616,47213
ENU4611750010,34177,36284.0,37339,38239,41072,42781
ENU4611950010,36673,38165.0,45988,54569,52002,48305
ENU4612150010,36220,37128.0,37720,42502,49911,48595
ENU4612350010,34502,34438.0,34782,37793,40457,44094
ENU4612550010,34723,35869.0,37054,39634,40668,43397
ENU4612750010,54469,54299.0,56078,61084,66994,70195
ENU4612950010,33838,34643.0,35718,37860,38530,41401
ENU4613550010,41496,43359.0,44466,47669,49561,52086
ENU4613750010,33980,35087.0,38564,41817,40904,39481
ENU4700150010,55762,57644.0,59839,63095,66856,71513
ENU4700350010,38747,39916.0,40516,43193,46205,49111
ENU4700550010,32650,33843.0,35250,38085,41478,42717
ENU4700750010,32896,34661.0,36062,37898,40452,43888
ENU4700950010,46680,47286.0,47397,50072,54366,58793
ENU4701150010,40473,41752.0,42634,45439,48277,49816
ENU4701350010,34184,34236.0,35223,37381,38520,41226
ENU4701550010,33326,34035.0,35601,38038,40492,45022
ENU4701750010,35940,37053.0,35719,34080,36417,38850
ENU4701950010,34800,35348.0,36269,38806,39739,42294
ENU4702150010,41398,42819.0,44883,47929,50129,53121
ENU4702350010,33428,34560.0,36274,38142,38547,39706
ENU4702550010,36327,36517.0,36606,38215,41073,43073
ENU4702750010,31044,30582.0,30759,33946,35451,36457
ENU4702950010,34155,35004.0,36841,39671,42851,41299
ENU4703150010,44283,45688.0,46217,48550,51018,53444
ENU4703350010,39934,40548.0,42894,47186,47095,50357
ENU4703550010,34076,33682.0,34564,36451,39451,41850
ENU4703750010,58024,60683.0,62146,66823,72360,76252
ENU4703950010,37177,38152.0,37409,39358,40735,43337
ENU4704150010,36565,38591.0,39077,40562,42586,45584
ENU4704350010,38316,38933.0,40085,42799,45489,47295
ENU4704550010,38839,39756.0,40936,44161,47403,49078
ENU4704750010,47504,44310.0,43334,46824,48113,52232
ENU4704950010,32053,32364.0,32989,33838,35565,37541
ENU4705150010,35634,37582.0,39039,41794,44751,47262
ENU4705350010,35945,37614.0,38419,40443,43318,44351
ENU4705550010,38765,40339.0,39971,42430,43345,46541
ENU4705750010,37208,38480.0,39478,41356,45828,50389
ENU4705950010,37795,38911.0,39400,41151,43658,45256
ENU4706150010,27369,28207.0,29562,31168,33896,37104
ENU4706350010,38845,40177.0,40764,42061,44866,46651
ENU4706550010,49226,49905.0,51414,55312,58969,62919
ENU4706750010,26532,27291.0,28198,31188,30517,30855
ENU4706950010,38223,39966.0,39765,42057,42874,46821
ENU4707150010,40568,41949.0,41920,45247,45772,47589
ENU4707350010,41791,41966.0,42627,44048,46788,49257
ENU4707550010,39008,39753.0,41163,43569,47013,50901
ENU4707750010,36922,39207.0,39392,38210,45751,45999
ENU4707950010,37394,38346.0,38749,40316,41576,45328
ENU4708150010,35682,36752.0,38440,41602,45036,48889
ENU4708350010,30808,31227.0,33567,35031,36061,38596
ENU4708550010,49482,47289.0,48375,48835,51572,56868
ENU4708750010,32158,33108.0,33383,37388,39293,40514
ENU4708950010,41519,42761.0,43860,46139,48027,50289
ENU4709150010,42300,42227.0,43251,44760,46195,48139
ENU4709350010,47751,49674.0,49861,53662,57331,59987
ENU4709550010,31702,32900.0,40798,36865,38415,42588
ENU4709750010,36074,38412.0,39103,41799,43509,44744
ENU4709950010,34577,35125.0,35926,38252,40312,41679
ENU4710150010,31284,32029.0,35012,36311,38028,41721
ENU4710350010,36404,36940.0,38354,39353,43179,45087
ENU4710550010,42585,44331.0,44253,46587,49142,52022
ENU4710750010,42859,43282.0,43865,45871,46936,47886
ENU4710950010,32874,33938.0,34123,36552,38930,40586
ENU4711150010,32706,33125.0,34179,35320,37376,40824
ENU4711350010,42410,42977.0,43827,46922,50100,53152
ENU4711550010,37396,37616.0,38191,40833,42672,44918
ENU4711750010,41062,42056.0,42334,43962,46019,49766
ENU4711950010,45436,46636.0,47781,50026,53590,56786
ENU4712150010,38872,38972.0,40624,44105,47161,48596
ENU4712350010,38306,39416.0,39736,40560,42687,45940
ENU4712550010,37482,38673.0,40568,42364,44782,46958
ENU4712750010,45087,46734.0,45868,47712,52811,57127
ENU4712950010,33186,35191.0,37690,37634,39666,41805
ENU4713150010,35968,36638.0,37462,40140,42065,44115
ENU4713350010,35291,35998.0,38805,39681,40011,42039
ENU4713550010,31571,32343.0,32298,34201,34449,38154
ENU4713750010,32006,31239.0,32015,31836,32732,35103
ENU4713950010,28871,31305.0,31845,35322,37586,38427
ENU4714150010,37532,39413.0,39961,41613,44505,46740
ENU4714350010,43583,44588.0,45808,50032,52064,55052
ENU4714550010,63859,66013.0,67795,72943,75366,75161
ENU4714750010,39189,38764.0,39806,43122,46058,48995
ENU4714950010,47921,48593.0,50010,51676,54602,57720
ENU4715150010,30517,31960.0,31794,33448,35336,37963
ENU4715350010,32184,32424.0,33091,36324,38290,40378
ENU4715550010,30154,31246.0,32285,35370,38134,40330
ENU4715750010,54726,56287.0,57400,61855,66463,67142
ENU4715950010,40001,42779.0,43529,46143,47050,49789
ENU4716150010,46714,47719.0,50739,52295,53998,58489
ENU4716350010,46596,49141.0,48742,51061,55671,58194
ENU4716550010,42876,43428.0,45112,47534,50616,54488
ENU4716750010,35562,36090.0,37709,42901,44134,46522
ENU4716950010,33576,37325.0,39861,42771,43304,48187
ENU4717150010,44193,44734.0,45047,46730,50187,51892
ENU4717350010,35298,35414.0,36278,37968,42052,46336
ENU4717550010,30478,32435.0,32074,34109,37663,38669
ENU4717750010,38423,39180.0,40318,40340,42441,46159
ENU4717950010,40652,41929.0,42998,46291,48599,51087
ENU4718150010,32467,34161.0,34978,39269,40297,42220
ENU4718350010,33456,34073.0,35879,37719,39914,41521
ENU4718550010,36035,35149.0,35496,37452,40501,43062
ENU4718750010,62458,66038.0,68651,73223,78471,82569
ENU4718950010,42344,42064.0,43274,46218,49649,53170
ENU4800150010,42335,44146.0,45799,48215,52590,57213
ENU4800350010,61411,68340.0,69845,67730,72757,74262
ENU4800550010,39246,40464.0,40974,43185,45228,47206
ENU4800750010,37187,38613.0,39316,40181,43045,45604
ENU4800950010,36198,38231.0,38006,39001,40895,45443
ENU4801150010,35461,38485.0,42240,41945,39804,48904
ENU4801350010,46656,51710.0,55264,51506,52030,58762
ENU4801550010,46209,47874.0,49650,52723,57243,61934
ENU4801750010,37915,39757.0,39542,42716,42667,46301
ENU4801950010,35832,35860.0,37215,39386,40715,42466
ENU4802150010,37426,39288.0,40661,43347,45775,49073
ENU4802350010,35248,35155.0,34452,38251,41782,44359
ENU4802550010,36532,37001.0,38345,38410,39475,41990
ENU4802750010,45986,46975.0,48842,51085,53498,56048
ENU4802950010,49161,50720.0,52560,56156,58635,61294
ENU4803150010,47106,48527.0,49686,52746,53771,59325
ENU4803350010,37172,38302.0,41767,44200,48813,64651
ENU4803550010,36694,38772.0,41632,44802,45356,48314
ENU4803750010,39887,40397.0,41088,43760,45629,48647
ENU4803950010,56629,59130.0,58755,60095,60831,65158
ENU4804150010,40441,41593.0,42552,45728,48362,50908
ENU4804350010,38514,40768.0,40642,43944,46144,47519
ENU4804550010,31284,32256.0,32043,35465,36585,46728
ENU4804750010,40995,43551.0,43244,45830,47548,49660
ENU4804950010,36792,37921.0,38752,40208,42078,44747
ENU4805150010,42679,45600.0,47721,50580,48618,53703
ENU4805350010,41741,42591.0,43862,46817,50425,53727
ENU4805550010,37460,39602.0,38478,40828,42153,45982
ENU4805750010,64170,66625.0,69405,74656,75229,77916
ENU4805950010,38205,42182.0,41919,45481,46750,50142
ENU4806150010,32402,33599.0,34689,36665,39198,41312
ENU4806350010,37620,39208.0,39949,41807,43574,47861
ENU4806550010,78765,82411.0,85618,87661,88436,92033
ENU4806750010,37366,36834.0,37854,39871,40512,42492
ENU4806950010,36371,36980.0,37842,39688,42031,44349
ENU4807150010,61577,63980.0,68196,66603,61802,71937
ENU4807350010,34941,36122.0,37122,38116,40454,44339
ENU4807550010,36986,38109.0,39493,39678,42582,55703
ENU4807750010,35841,37220.0,38090,39721,42255,45859
ENU4807950010,39234,40099.0,41906,44576,47249,56357
ENU4808150010,34510,40418.0,41707,49756,51730,63257
ENU4808350010,30857,30611.0,32780,35010,37593,41206
ENU4808550010,64123,66886.0,68366,73602,77726,81114
ENU4808750010,39705,40303.0,40776,42916,42187,46267
ENU4808950010,46164,42474.0,44297,46248,52796,50841
ENU4809150010,42282,43403.0,45313,49014,50989,53156
ENU4809350010,33298,34632.0,35799,38607,41507,43266
ENU4809550010,40758,38074.0,40265,44585,48643,51655
ENU4809750010,44222,46907.0,48263,48249,51122,54845
ENU4809950010,41481,42286.0,43292,45909,47636,49788
ENU4810150010,39064,39743.0,45590,45801,48863,55663
ENU4810350010,54668,66667.0,58450,58800,58909,70417
ENU4810550010,40027,41530.0,44046,45597,44578,46136
ENU4810750010,37003,36904.0,39051,39769,46237,46174
ENU4810950010,49359,51634.0,55299,60932,66865,78756
ENU4811150010,41990,44322.0,45744,50496,53553,55293
ENU4811350010,66562,68484.0,71047,75038,78980,83511
ENU4811550010,38283,40178.0,41594,42865,44767,52225
ENU4811750010,40779,41992.0,43165,46537,49049,53500
ENU4811950010,22770,25868.0,27058,28700,31398,38964
ENU4812150010,50121,50734.0,51064,55099,58500,60613
ENU4812350010,45164,44910.0,47891,45846,47258,52875
ENU4812550010,33061,32808.0,33430,36281,36601,44998
ENU4812750010,51454,55874.0,58160,54812,58129,66624
ENU4812950010,29966,35153.0,31965,34026,36896,38764
ENU4813150010,36815,38553.0,38808,38563,70014,39296
ENU4813350010,44887,54155.0,52027,46374,49680,48282
ENU4813550010,56264,61871.0,64472,60823,61670,69071
ENU4813750010,32251,34591.0,40388,47868,42860,40721
ENU4813950010,43122,44378.0,45867,48640,50856,53142
ENU4814150010,37864,38858.0,39993,42978,44880,46987
ENU4814350010,34547,35913.0,37314,39436,41193,43430
ENU4814550010,35685,37276.0,38232,41040,42659,47140
ENU4814750010,40473,41415.0,42205,43626,45967,49172
ENU4814950010,38955,41065.0,42509,44736,46354,49401
ENU4815150010,39913,42362.0,43639,44945,47635,49641
ENU4815350010,35922,37195.0,36360,38271,39898,43394
ENU4815550010,28232,29202.0,30348,31344,35784,39568
ENU4815750010,50877,51859.0,52506,54028,54296,57161
ENU4815950010,40309,42472.0,43137,46624,44480,44231
ENU4816150010,42869,43387.0,42993,43339,45050,48228
ENU4816350010,48576,52388.0,52360,51416,53865,58886
ENU4816550010,49682,52567.0,55226,55150,55135,59336
ENU4816750010,47917,49390.0,51357,54632,54502,56913
ENU4816950010,37947,39320.0,43816,42182,45558,48502
ENU4817150010,37583,38547.0,40023,42525,45000,47131
ENU4817350010,42919,58493.0,56354,60409,57752,61878
ENU4817550010,34886,35801.0,42771,43960,43421,45774
ENU4817750010,40337,42122.0,43715,45576,48016,51258
ENU4817950010,48287,49587.0,50227,50606,51763,55991
ENU4818150010,42386,43724.0,44719,47374,50641,53682
ENU4818350010,45650,47516.0,48485,48465,50131,54073
ENU4818550010,47187,49614.0,51571,52393,54867,57326
ENU4818750010,42186,44438.0,46087,47890,50596,54791
ENU4818950010,36531,37633.0,38710,41504,42475,44526
ENU4819150010,28717,28510.0,29765,30797,32684,34485
ENU4819350010,35130,36599.0,38388,40176,42391,44311
ENU4819550010,56178,57740.0,55688,48273,49566,55560
ENU4819750010,34762,36630.0,37028,40025,42413,46439
ENU4819950010,41036,42903.0,44753,46055,47693,50724
ENU4820150010,68536,70558.0,72710,74737,76870,81371
ENU4820350010,47003,49400.0,51401,51295,53158,58231
ENU4820550010,38790,40922.0,42036,45134,46426,48286
ENU4820750010,34459,36605.0,32726,39484,41147,42657
ENU4820950010,39116,40318.0,42158,44662,47067,51274
ENU4821150010,56712,59123.0,62120,55354,54158,58578
ENU4821350010,35618,37208.0,38325,40569,41265,43400
ENU4821550010,33612,34363.0,35208,37315,39116,40792
ENU4821750010,39437,41027.0,42712,45020,47273,50789
ENU4821950010,48257,53790.0,59590,56046,57576,64851
ENU4822150010,40697,43893.0,45031,44089,45308,48927
ENU4822350010,38449,39227.0,40013,42242,45893,48560
ENU4822550010,46689,49460.0,52396,57654,57464,59278
ENU4822750010,49179,51178.0,52657,52881,53630,58253
ENU4822950010,55114,57753.0,60645,62654,64002,68691
ENU4823150010,51384,52234.0,50615,49227,51605,54645
ENU4823350010,59899,61233.0,64187,66275,66617,69327
ENU4823550010,69604,62744.0,62897,59671,67473,76835
ENU4823750010,50161,60768.0,50017,52540,53733,58295
ENU4823950010,42750,44782.0,47038,47883,49705,52301
ENU4824150010,40882,41134.0,42528,42877,43992,45995
ENU4824350010,32507,32516.0,34431,38673,37121,40038
ENU4824550010,56581,57522.0,58104,58904,59703,63895
ENU4824750010,38378,39765.0,41009,43268,44215,47391
ENU4824950010,43273,46969.0,49075,42829,43217,46078
ENU4825150010,42551,44877.0,46847,49088,51418,53119
ENU4825350010,38187,38185.0,39352,41637,43942,46844
ENU4825550010,50274,55016.0,59685,59138,60227,62667
ENU4825750010,41282,42759.0,44692,47072,49533,51937
ENU4825950010,48716,49971.0,50465,53257,56399,56646
ENU4826150010,58502,65819.0,71084,71463,69767,59178
ENU4826350010,34921,38936.0,39451,42031,45578,40849
ENU4826550010,41234,41998.0,43095,46051,49236,52134
ENU4826750010,30337,30911.0,32320,35381,37700,40746
ENU4826950010,41875,41427.0,40803,46390,80974,85213
ENU4827150010,43919,45606.0,48042,49192,49363,50129
ENU4827350010,38378,38089.0,40842,43054,44078,45743
ENU4827550010,39414,40838.0,44056,45721,44439,44802
ENU4827750010,42546,41695.0,43680,45487,47771,51337
ENU4827950010,38362,40780.0,43457,44710,45871,49089
ENU4828150010,33917,34888.0,36542,38858,40071,42768
ENU4828350010,62035,69630.0,71990,64913,73843,73655
ENU4828550010,38356,39272.0,42403,42393,43442,45860
ENU4828750010,49645,50118.0,54641,50808,49089,50193
ENU4828950010,47477,53551.0,55633,54278,60479,62230
ENU4829150010,43473,46375.0,48195,47694,48930,51618
ENU4829350010,40118,43681.0,45472,45070,50868,53335
ENU4829550010,49583,54757.0,53628,61670,54435,52696
ENU4829750010,53684,55304.0,61089,60583,56158,59858
ENU4829950010,36263,37388.0,38913,41021,42968,46173
ENU4830150010,45582,51219.0,78135,64776,59515,83153
ENU4830350010,42270,43951.0,45118,47656,48494,50980
ENU4830550010,42943,47796.0,48957,52015,58341,66178
ENU4830750010,41533,42226.0,41729,40580,42502,45623
ENU4830950010,44606,46345.0,46902,50313,51749,54284
ENU4831150010,52587,53682.0,56402,59092,59917,66710
ENU4831350010,37525,38112.0,39384,41419,43855,46007
ENU4831550010,33047,33565.0,34450,35851,42427,41806
ENU4831750010,52285,54456.0,59153,53825,56136,63408
ENU4831950010,31824,34243.0,34283,36305,37896,40058
ENU4832150010,54428,56438.0,56298,58305,60266,63064
ENU4832350010,32596,34102.0,35059,36750,38320,41161
ENU4832550010,35808,37513.0,38571,41110,43856,46050
ENU4832750010,27216,28493.0,28428,29615,30365,30293
ENU4832950010,69844,75220.0,78610,77806,80120,86955
ENU4833150010,41948,41591.0,41661,42570,43690,47719
ENU4833350010,32366,33402.0,34735,37742,39664,41075
ENU4833550010,40692,45356.0,43530,44618,48845,52348
ENU4833750010,39641,41779.0,42035,41106,42319,45271
ENU4833950010,54041,56210.0,58352,61130,63776,66927
ENU4834150010,45318,46724.0,47714,50466,53336,56529
ENU4834350010,47229,52675.0,52542,49755,51877,53446
ENU4834550010,26713,28729.0,29981,33077,34171,33992
ENU4834750010,36930,37636.0,39314,42131,44075,46933
ENU4834950010,37211,38513.0,39829,41888,43874,47128
ENU4835150010,34210,36652.0,37910,39530,39403,41595
ENU4835350010,41665,43186.0,44936,46507,49816,52304
ENU4835550010,46579,47777.0,49163,50947,52145,54649
ENU4835750010,47449,49209.0,49729,47468,48573,53976
ENU4835950010,39543,41415.0,42470,46949,46487,46056
ENU4836150010,52066,53149.0,54469,56502,57066,58745
ENU4836350010,42969,45001.0,46122,45971,45202,47888
ENU4836550010,45194,47910.0,49486,48341,50185,54819
ENU4836750010,44030,46502.0,45586,47844,49562,53390
ENU4836950010,40145,42659.0,44674,49887,52615,55431
ENU4837150010,45501,47626.0,50303,51136,51920,56922
ENU4837350010,38327,39945.0,41096,43359,44980,48629
ENU4837550010,43904,45397.0,47140,50196,52634,55330
ENU4837750010,40238,41460.0,42904,45784,51106,50593
ENU4837950010,30768,32814.0,34052,35774,37368,39540
ENU4838150010,42483,44092.0,44893,46641,48386,50777
ENU4838350010,56590,61452.0,73895,68513,67894,73608
ENU4838550010,25800,26667.0,27178,28919,30168,34068
ENU4838750010,33622,34602.0,36410,40502,39765,42141
ENU4838950010,49227,60934.0,67430,64150,66170,73603
ENU4839150010,36841,40682.0,42607,40982,42147,47038
ENU4839350010,46933,45308.0,47697,51258,64287,70126
ENU4839550010,45823,45181.0,45868,49019,52390,59389
ENU4839750010,41711,43042.0,42974,46899,49844,52424
ENU4839950010,34882,35849.0,37745,39781,41573,44319
ENU4840150010,42834,43780.0,44895,45044,47591,51226
ENU4840350010,36468,37316.0,36876,39074,41075,43415
ENU4840550010,37340,38384.0,44306,42244,44669,53039
ENU4840750010,34014,35112.0,36308,37993,39961,41625
ENU4840950010,47558,48612.0,48784,51055,55940,60095
ENU4841150010,36428,42027.0,41989,38947,39239,41533
ENU4841350010,41750,45307.0,47603,48877,47237,49945
ENU4841550010,51721,56126.0,57016,56062,57072,64500
ENU4841750010,48796,58884.0,58647,53684,55926,68181
ENU4841950010,35772,37926.0,40288,41915,45000,47544
ENU4842150010,41511,42044.0,46705,49009,51400,53036
ENU4842350010,44329,45429.0,46803,49365,51805,54673
ENU4842550010,56783,59912.0,65884,66457,66118,67590
ENU4842750010,29803,30320.0,31251,34150,36730,38221
ENU4842950010,37493,39047.0,39063,40304,39913,45492
ENU4843150010,45199,44968.0,45189,47997,42786,43815
ENU4843350010,38647,38952.0,41116,42791,44024,53002
ENU4843550010,63862,68360.0,66193,60928,63402,63118
ENU4843750010,34891,36306.0,38412,40172,39513,41940
ENU4843950010,53945,55632.0,57802,60926,63722,66859
ENU4844150010,40495,42473.0,44118,46215,47446,51463
