Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"Louisville/JeffersonCounty,KYIN",133.0,160.0,127.0
"Lincoln,NE",134.0,119.0,170.0
"StateCollege,PA",135.0,240.0,213.0
"AllentownBethlehemEaston,PANJ",136.0,176.0,94.0
"GreenvilleAndersonMauldin,SC",137.0,143.0,138.0
"KansasCity,MOKS",138.0,123.0,126.0
"Salinas,CA",139.0,255.0,152.0
"FortWayne,IN",140.0,211.0,169.0
"CaliforniaLexingtonPark,MD",141.0,28.0,220.0
"OklahomaCity,OK",142.0,301.0,231.0
"Cincinnati,OHKYIN",143.0,136.0,137.0
"StauntonWaynesboro,VA",144.0,227.0,348.0
"JanesvilleBeloit,WI",145.0,212.0,304.0
"Tallahassee,FL",146.0,107.0,123.0
"WallaWalla,WA",147.0,226.0,276.0
"HarrisburgCarlisle,PA",148.0,180.0,183.0
"Richmond,VA",149.0,105.0,142.0
"Corvallis,OR",150.0,142.0,124.0
"Chico,CA",151.0,242.0,324.0
"Columbus,OH",152.0,102.0,97.0
"Ames,IA",153.0,177.0,139.0
"Savannah,GA",154.0,166.0,81.0
"LakeHavasuCityKingman,AZ",155.0,48.0,125.0
"Pittsburgh,PA",156.0,266.0,215.0
"Lebanon,PA",157.0,170.0,164.0
"Waco,TX",158.0,191.0,179.0
"BirminghamHoover,AL",159.0,228.0,132.0
"Dover,DE",160.0,100.0,192.0
"Tyler,TX",161.0,186.0,128.0
"ChicagoNapervilleElgin,ILINWI",162.0,218.0,121.0
"Worcester,MACT",163.0,98.0,93.0
"EauClaire,WI",165.0,172.0,185.0
"AugustaRichmondCounty,GASC",166.0,149.0,314.0
"Pueblo,CO",167.0,182.0,206.0
"Tulsa,OK",168.0,338.0,318.0
"Clarksville,TNKY",169.0,192.0,159.0
"Pocatello,ID",170.0,61.0,195.0
"HanfordCorcoran,CA",171.0,71.0,331.0
"GreatFalls,MT",172.0,169.0,243.0
"Spartanburg,SC",173.0,129.0,217.0
"Jacksonville,NC",174.0,167.0,83.0
"HoustonTheWoodlandsSugarLand,TX",175.0,245.0,194.0
"Lawrence,KS",176.0,246.0,225.0
"Springfield,IL",177.0,335.0,242.0
"IowaCity,IA",178.0,185.0,156.0
"Lubbock,TX",179.0,195.0,223.0
"KalamazooPortage,MI",180.0,261.0,119.0
"GreenBay,WI",181.0,252.0,332.0
"LexingtonFayette,KY",182.0,233.0,182.0
"WarnerRobins,GA",183.0,118.0,234.0
"ElCentro,CA",184.0,93.0,222.0
