year,YF_emp_share,lagged_emp_share,trend
2015,0.10394602642910665,,
2016,0.10334929984737992,0.10394602642910665,-0.005740734900854609
2017,0.10299997248231282,0.10334929984737992,-0.003380065134286965
2018,0.1035896715378049,0.10299997248231282,0.005725235078032137
2019,0.10536282857229588,0.1035896715378049,0.01711712189225222
2020,0.10143497426124476,0.10536282857229588,-0.037279317234312694
2021,0.10513500572642331,0.10143497426124476,0.03647688080098646
2022,0.11012418937584029,0.10513500572642331,0.04745501857297235
